1,-80,86,0.001602960,0.002167552
1,-60,87,0.003866195,0.000842505
1,-40,87,0.005854769,0.000657352
1,-20,91,0.002324229,0.000611793
1,0,93,0.001305052,0.001617360
1,20,95,0.005881837,0.002375097
1,40,96,0.001982675,0.004406836
1,60,100,0.001115209,0.005387750
2,-80,91,0.001550999,0.002499813
2,-60,91,0.001119423,0.000929367
2,-40,92,0.000778019,0.000597325
2,-20,97,0.004109337,0.000574649
2,0,88,0.001598685,0.000601040
2,20,95,0.004418244,0.002834843
2,40,101,0.005110572,0.004361523
2,60,92,0.001008428,0.009692669
3,-80,88,0.001475052,0.002502334
3,-60,90,0.001176227,0.002309766
3,-40,95,0.001131874,0.000476360
3,-20,98,0.000584944,0.000387927
3,0,90,0.000704460,0.001496369
3,20,92,0.001048535,0.003119148
3,40,84,0.001600017,0.005643892
3,60,100,0.001664079,0.008398937
1,-80,86,0.001602960,0.002167552
1,-60,87,0.003866195,0.000842505
1,-40,87,0.005854769,0.000657352
1,-20,91,0.002324229,0.000611793
1,0,93,0.001305052,0.001617360
1,20,95,0.005881837,0.002375097
1,40,96,0.001982675,0.004406836
1,60,100,0.001115209,0.005387750
1,80,104,0.001064995,0.002247969
2,-80,91,0.001550999,0.002499813
2,-60,91,0.001119423,0.000929367
2,-40,92,0.000778019,0.000597325
2,-20,97,0.004109337,0.000574649
2,0,88,0.001598685,0.000601040
2,20,95,0.004418244,0.002834843
2,40,101,0.005110572,0.004361523
2,60,92,0.001008428,0.009692669
2,80,98,0.000773440,0.0014010100
3,-80,88,0.001475052,0.002502334
3,-60,90,0.001176227,0.002309766
3,-40,95,0.001131874,0.000476360
3,-20,98,0.000584944,0.000387927
3,0,90,0.000704460,0.001496369
3,20,92,0.001048535,0.003119148
3,40,84,0.001600017,0.005643892
3,60,100,0.001664079,0.008398937
3,80,96,0.001532891,0.002347969
1,-80,0,0.000547516,0.000584140
1,-60,0,0.000432056,0.000631735
1,-40,0,0.000436432,0.001133994
1,-20,0,0.000434944,0.000874993
1,0,0,0.000436663,0.001312927
1,20,0,0.000472381,0.001039124
1,40,0,0.000986337,0.000809651
1,60,0,0.000385600,0.001689691
1,80,0,0.000402538,0.003857590
2,-80,0,0.002019255,0.000581147
2,-60,0,0.000423885,0.000635043
2,-40,0,0.005172449,0.001255695
2,-20,0,0.000377139,0.000669653
2,0,0,0.000442199,0.000497194
2,20,0,0.000408679,0.000698430
2,40,0,0.000372059,0.000644333
2,60,0,0.000386740,0.002401882
3,-80,0,0.000417005,0.000851577
3,-60,0,0.000514552,0.000600058
3,-40,0,0.000559466,0.001706745
3,-20,0,0.000408706,0.000745181
3,0,0,0.000426568,0.000410667
3,20,0,0.000377817,0.000702304
3,40,0,0.000475877,0.000750851
3,60,0,0.000390415,0.007292674
3,80,0,0.000406819,0.002347969
1,-80,0,0.000547516,0.000584140
1,-60,0,0.000432056,0.000631735
1,-40,0,0.000436432,0.001133994
1,-20,0,0.000434944,0.000874993
1,0,0,0.000436663,0.001312927
1,20,0,0.000472381,0.001039124
1,40,0,0.000986337,0.000809651
1,60,0,0.000385600,0.001689691
1,80,0,0.000402538,0.003857590
2,-80,0,0.002019255,0.000581147
2,-60,0,0.000423885,0.000635043
2,-40,0,0.005172449,0.001255695
2,-20,0,0.000377139,0.000669653
2,0,0,0.000442199,0.000497194
2,20,0,0.000408679,0.000698430
2,40,0,0.000372059,0.000644333
2,60,0,0.000386740,0.002401882
3,-80,0,0.000417005,0.000851577
3,-60,0,0.000514552,0.000600058
3,-40,0,0.000559466,0.001706745
3,-20,0,0.000408706,0.000745181
3,0,0,0.000426568,0.000410667
3,20,0,0.000377817,0.000702304
3,40,0,0.000475877,0.000750851
3,60,0,0.000390415,0.007292674
3,80,0,0.000406819,0.002347969
1,-80,0,0.000547516,0.000584140
1,-60,0,0.000432056,0.000631735
1,-40,0,0.000436432,0.001133994
1,-20,0,0.000434944,0.000874993
1,0,0,0.000436663,0.001312927
1,20,0,0.000472381,0.001039124
1,40,0,0.000986337,0.000809651
1,60,0,0.000385600,0.001689691
1,80,0,0.000402538,0.003857590
2,-80,0,0.002019255,0.000581147
2,-60,0,0.000423885,0.000635043
2,-40,0,0.005172449,0.001255695
2,-20,0,0.000377139,0.000669653
2,0,0,0.000442199,0.000497194
2,20,0,0.000408679,0.000698430
2,40,0,0.000372059,0.000644333
2,60,0,0.000386740,0.002401882
3,-80,0,0.000417005,0.000851577
3,-60,0,0.000514552,0.000600058
3,-40,0,0.000559466,0.001706745
3,-20,0,0.000408706,0.000745181
3,0,0,0.000426568,0.000410667
3,20,0,0.000377817,0.000702304
3,40,0,0.000475877,0.000750851
3,60,0,0.000390415,0.007292674
3,80,0,0.000406819,0.002347969
1,-80,0,0.000547516,0.000584140
1,-60,0,0.000432056,0.000631735
1,-40,0,0.000436432,0.001133994
1,-20,0,0.000434944,0.000874993
1,0,0,0.000436663,0.001312927
1,20,0,0.000472381,0.001039124
1,40,0,0.000986337,0.000809651
1,60,0,0.000385600,0.001689691
1,80,0,0.000402538,0.003857590
2,-80,0,0.002019255,0.000581147
2,-60,0,0.000423885,0.000635043
2,-40,0,0.005172449,0.001255695
2,-20,0,0.000377139,0.000669653
2,0,0,0.000442199,0.000497194
2,20,0,0.000408679,0.000698430
2,40,0,0.000372059,0.000644333
2,60,0,0.000386740,0.002401882
3,-80,0,0.000417005,0.000851577
3,-60,0,0.000514552,0.000600058
3,-40,0,0.000559466,0.001706745
3,-20,0,0.000408706,0.000745181
3,0,0,0.000426568,0.000410667
3,20,0,0.000377817,0.000702304
3,40,0,0.000475877,0.000750851
3,60,0,0.000390415,0.007292674
3,80,0,0.000406819,0.002347969
1,-80,0,0.000547516,0.000584140
1,-60,0,0.000432056,0.000631735
1,-40,0,0.000436432,0.001133994
1,-20,0,0.000434944,0.000874993
1,0,0,0.000436663,0.001312927
1,20,0,0.000472381,0.001039124
1,40,0,0.000986337,0.000809651
1,60,0,0.000385600,0.001689691
1,80,0,0.000402538,0.003857590
2,-80,0,0.002019255,0.000581147
2,-60,0,0.000423885,0.000635043
2,-40,0,0.005172449,0.001255695
2,-20,0,0.000377139,0.000669653
2,0,0,0.000442199,0.000497194
2,20,0,0.000408679,0.000698430
2,40,0,0.000372059,0.000644333
2,60,0,0.000386740,0.002401882
3,-80,0,0.000417005,0.000851577
3,-60,0,0.000514552,0.000600058
3,-40,0,0.000559466,0.001706745
3,-20,0,0.000408706,0.000745181
3,0,0,0.000426568,0.000410667
3,20,0,0.000377817,0.000702304
3,40,0,0.000475877,0.000750851
3,60,0,0.000390415,0.007292674
3,80,0,0.000406819,0.002347969
1,-80,0,0.000547516,0.000584140
1,-60,0,0.000432056,0.000631735
1,-40,0,0.000436432,0.001133994
1,-20,0,0.000434944,0.000874993
1,0,0,0.000436663,0.001312927
1,20,0,0.000472381,0.001039124
1,40,0,0.000986337,0.000809651
1,60,0,0.000385600,0.001689691
1,80,0,0.000402538,0.003857590
2,-80,0,0.002019255,0.000581147
2,-60,0,0.000423885,0.000635043
2,-40,0,0.005172449,0.001255695
2,-20,0,0.000377139,0.000669653
2,0,0,0.000442199,0.000497194
2,20,0,0.000408679,0.000698430
2,40,0,0.000372059,0.000644333
2,60,0,0.000386740,0.002401882
3,-80,0,0.000417005,0.000851577
3,-60,0,0.000514552,0.000600058
3,-40,0,0.000559466,0.001706745
3,-20,0,0.000408706,0.000745181
3,0,0,0.000426568,0.000410667
3,20,0,0.000377817,0.000702304
3,40,0,0.000475877,0.000750851
3,60,0,0.000390415,0.007292674
3,80,0,0.000406819,0.002347969
1,-80,0,0.012218980,0.000261013
1,-60,0,0.006881376,0.000564042
1,-40,0,0.001398766,0.000410363
1,-20,0,0.000422106,0.000183724
1,0,0,0.000286606,0.000564504
1,20,0,0.000290517,0.000716846
1,40,0,0.000363773,0.001303571
